playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
jewelja01,2021,1,CHN,NL,10,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
gregelu01,2019,1,SLN,NL,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
slateau01,2022,1,SFN,NL,125,277,49,73,15,2,7,34,12,1,40,89,0,6,0,2,9
gosseph01,2022,1,ATL,NL,12,23,4,6,0,0,0,0,0,0,1,6,0,0,0,0,0
chafian01,2020,1,ARI,NL,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rodrise01,2019,1,PHI,NL,76,112,24,25,5,0,4,12,1,1,19,41,0,3,4,1,2
arihako01,2022,1,TEX,AL,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
skubata01,2021,1,DET,AL,31,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0
huangwe01,2019,1,TEX,AL,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hanigmi01,2019,1,SEA,AL,63,246,46,54,13,1,15,32,4,0,30,81,1,5,0,2,3
shoemma01,2021,1,MIN,AL,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
thomptr01,2021,1,CHN,NL,15,28,6,7,1,0,4,9,2,0,7,11,0,0,0,0,2
thomaco01,2022,1,OAK,AL,10,30,1,8,0,0,0,0,0,0,2,12,0,0,0,0,0
gallegi01,2022,1,SLN,NL,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reedja02,2021,2,NYN,NL,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sheffju01,2022,1,SEA,AL,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yacabji01,2020,1,SEA,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
quintjo01,2020,1,CHN,NL,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fordmi01,2022,4,LAA,AL,28,91,8,21,4,0,3,5,0,0,8,26,0,0,0,0,1
montera01,2020,1,TEX,AL,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lopezyo01,2022,1,NYN,NL,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anderdr02,2021,1,TEX,AL,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uriasju01,2020,1,LAN,NL,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
davisra01,2019,1,NYN,NL,29,25,4,5,2,0,1,8,0,1,1,5,0,0,0,0,0
perezol01,2022,1,ARI,NL,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yacabji01,2022,1,MIA,NL,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
warread01,2019,1,SDN,NL,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semiema01,2021,1,TOR,AL,162,652,115,173,39,2,45,102,15,1,66,146,0,3,0,3,9
swarmma01,2022,1,CHN,NL,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
darnatr01,2021,1,ATL,NL,60,209,21,46,14,0,7,26,0,0,17,53,0,2,0,1,7
moniami01,2022,1,PHI,NL,18,46,4,6,1,0,0,2,0,0,3,19,0,0,1,0,0
gibsoky01,2020,1,TEX,AL,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alcansa01,2020,1,MIA,NL,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
suarejo01,2020,1,LAA,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blackpa01,2019,1,OAK,AL,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
narvaom01,2022,1,MIL,NL,84,262,21,54,12,1,4,23,0,0,29,57,1,3,1,1,4
murfepe01,2022,1,SEA,AL,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kellyjo05,2022,1,CHA,AL,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vargail01,2020,2,MIN,AL,10,22,3,5,1,1,0,2,0,0,1,2,0,0,0,1,1
gomesya01,2021,2,OAK,AL,40,131,19,29,4,0,5,17,0,0,6,31,0,2,0,1,3
inciaen01,2019,1,ATL,NL,65,199,30,49,11,2,5,24,7,1,26,41,2,4,0,1,1
puellce01,2019,2,MIA,NL,32,84,8,15,2,0,1,6,0,0,7,30,1,5,1,0,1
mannima01,2022,1,DET,AL,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zimmebr01,2021,1,CLE,AL,99,299,44,68,9,1,8,35,15,3,30,122,0,15,0,4,3
smithjo09,2022,1,TEX,AL,73,213,23,42,5,0,2,16,4,3,28,50,0,7,2,3,1
severan01,2022,1,CHA,AL,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
castrmi01,2020,2,NYN,NL,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
happja01,2021,2,SLN,NL,11,14,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0
hiurake01,2019,1,MIL,NL,84,314,51,95,23,2,19,49,9,3,25,107,1,8,0,1,6
littlbr02,2022,1,CHN,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rodrije01,2019,1,CLE,AL,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zobribe01,2019,1,CHN,NL,47,150,24,39,5,0,1,17,0,0,23,24,0,1,0,2,6
karinja01,2022,1,CLE,AL,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stratch01,2019,1,LAA,AL,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
heredgu01,2022,1,ATL,NL,74,76,12,12,3,1,3,8,0,0,6,32,0,0,0,0,1
kirilal01,2022,1,MIN,AL,45,144,14,36,7,0,3,21,0,0,5,36,0,4,0,2,5
markepa01,2019,1,SEA,AL,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rowenbe01,2021,1,LAA,AL,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reyesge01,2019,1,SDN,NL,27,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tinocje01,2022,1,TEX,AL,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kellemi03,2022,1,PIT,NL,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
murphto04,2022,1,SEA,AL,14,33,9,10,2,0,1,1,0,0,8,13,0,0,0,0,1
haselad01,2021,1,PHI,NL,9,21,2,4,1,0,0,0,0,0,0,4,0,0,0,0,0
cashnan01,2019,1,BAL,AL,17,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
willima07,2021,1,NYN,NL,17,33,3,7,1,0,1,1,0,1,4,9,1,0,0,0,1
freemty01,2022,1,CLE,AL,24,77,9,19,3,0,0,3,1,0,4,11,0,4,0,1,2
ramirjc01,2019,1,LAA,AL,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
morelch01,2022,1,CHN,NL,113,379,55,89,19,4,16,47,10,7,38,137,0,3,3,2,6
eshelto01,2020,1,BAL,AL,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nunezed02,2019,1,BOS,AL,60,167,13,38,7,0,2,20,5,1,4,27,0,0,1,2,6
syndeno01,2021,1,NYN,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brookaa01,2019,1,OAK,AL,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
keplema01,2022,1,MIN,AL,115,388,54,88,18,1,9,43,3,2,49,66,1,5,0,4,7
greenco01,2021,2,LAN,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
higasky01,2019,1,NYA,AL,18,56,8,12,5,0,3,11,0,0,0,26,0,0,0,1,1
quinnro01,2021,1,PHI,NL,28,52,8,9,2,2,0,2,4,3,6,19,0,4,0,0,0
hendrky01,2019,1,CHN,NL,31,54,1,8,1,0,0,5,0,0,2,29,0,1,7,0,1
boltsk01,2022,1,OAK,AL,42,106,10,21,2,0,4,13,5,0,7,30,0,2,0,1,1
hudsojo03,2020,1,SEA,AL,9,17,0,3,0,0,0,0,0,0,2,5,0,0,1,0,0
duranez01,2022,1,TEX,AL,58,208,25,49,10,1,5,25,4,1,12,54,0,0,0,0,3
maydu01,2020,1,LAN,NL,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cabremi01,2021,1,DET,AL,130,472,48,121,16,0,15,75,0,0,40,118,0,5,0,9,21
canoye01,2022,2,BAL,AL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
galvifr01,2019,1,TOR,AL,115,450,55,120,24,1,18,54,4,1,21,112,1,0,1,1,11
jayjo02,2020,1,ARI,NL,18,50,5,8,1,0,1,4,0,0,3,12,0,1,0,3,0
nelsoky01,2022,1,ARI,NL,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alvarjo02,2021,1,SFN,NL,67,2,1,0,0,0,0,0,0,0,2,2,0,0,1,0,0
leybado01,2019,1,ARI,NL,21,25,6,7,2,1,0,5,0,0,4,9,0,0,0,1,0
pillake01,2022,1,LAN,NL,4,12,1,1,1,0,0,0,0,0,1,4,0,0,0,0,1
slegeaa01,2021,1,LAA,AL,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mailelu01,2019,1,TOR,AL,45,119,9,18,2,1,2,9,1,0,8,33,0,0,2,0,1
peterdi01,2022,1,PIT,NL,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chargjt01,2019,1,LAN,NL,21,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
mapledi01,2021,1,CHN,NL,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
teherju01,2019,1,ATL,NL,35,55,1,6,1,0,0,4,0,0,0,24,0,0,4,1,0
mcneije01,2021,1,NYN,NL,120,386,48,97,19,1,7,35,3,0,29,58,0,10,0,1,10
quantca01,2020,1,SDN,NL,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gallois01,2019,1,MIA,NL,19,54,6,9,1,0,0,1,2,0,0,17,0,0,0,0,0
fordmi01,2019,1,NYA,AL,50,143,30,37,7,0,12,25,0,0,17,28,2,3,0,0,0
higasky01,2021,1,NYA,AL,67,193,20,35,10,0,10,29,0,0,17,59,0,0,0,1,4
cuetojo01,2021,1,SFN,NL,22,29,1,2,0,0,0,0,1,0,3,9,0,0,5,0,0
sittibr01,2021,1,ARI,NL,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
luzarje01,2021,1,OAK,AL,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
owingch01,2019,1,KCA,AL,41,135,9,18,4,1,2,9,4,1,8,55,0,2,0,0,1
dysonja01,2021,2,TOR,AL,25,13,4,1,0,0,0,0,2,2,4,5,0,0,0,0,0
rogerty01,2020,1,SFN,NL,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
haggesa01,2022,1,SEA,AL,83,176,29,45,9,1,5,23,13,1,18,53,3,4,1,2,4
tuckeco01,2020,1,PIT,NL,37,109,17,24,3,0,1,8,1,0,5,31,0,0,1,1,3
uriasju01,2022,1,LAN,NL,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brachsi01,2020,1,ARI,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
valdefr01,2022,1,HOU,AL,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
luplojo01,2020,1,CLE,AL,29,78,8,15,5,1,2,8,0,1,12,19,0,1,0,1,3
andujmi01,2021,1,NYA,AL,45,154,19,39,2,0,6,12,0,1,7,28,0,0,0,1,8
rominau01,2022,1,LAA,AL,3,8,0,2,0,0,0,0,0,0,0,3,0,0,1,0,0
petityu01,2019,1,OAK,AL,80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
greenza01,2019,1,SFN,NL,8,14,1,2,1,0,0,1,0,0,2,6,0,0,0,0,2
friedtj01,2021,1,CIN,NL,14,31,9,9,1,0,1,2,0,0,4,2,0,0,0,1,0
wadela01,2021,1,SFN,NL,109,336,52,85,17,3,18,56,6,1,33,89,1,5,4,3,3
mcmahry01,2019,1,COL,NL,141,480,70,120,22,1,24,83,5,1,56,160,1,1,1,1,14
taylomi02,2020,1,WAS,NL,38,92,11,18,6,0,5,16,0,0,6,27,0,1,0,0,2
alldrca01,2022,1,PIT,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smithma05,2020,1,SEA,AL,14,45,2,6,2,0,0,3,2,0,2,13,0,0,0,0,1
sheetga01,2022,1,CHA,AL,124,377,34,91,19,0,15,53,0,0,27,86,0,3,0,3,9
clarkta01,2021,1,ARI,NL,43,3,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0
roberda08,2022,1,CHN,NL,36,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
feyerjo01,2022,1,TBA,AL,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kelenja01,2022,1,SEA,AL,54,163,20,23,5,1,7,17,5,2,16,61,0,1,0,1,3
paxtoja01,2020,1,NYA,AL,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lucrojo01,2020,1,BOS,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
workmbr01,2021,1,CHN,NL,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
willima08,2019,2,SEA,AL,25,77,10,14,0,0,3,10,0,1,9,26,0,1,0,0,1
castrha01,2019,1,DET,AL,97,354,30,103,10,4,5,38,4,2,9,86,0,0,2,4,6
