age,g,pa,ab,h,hr,rbi,so,ba,obp,slg,ops,ops_ps,tb
28,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
32,130,453,384,83,8,40,109,0.216,0.330,0.313,0.642,86,120
30,157,696,570,177,62,131,175,0.311,0.425,0.686,1.111,211,391
25,5,11,11,0,0,0,5,0.000,0.000,0.000,0.000,-100,0
33,15,37,35,9,1,2,12,0.257,0.297,0.400,0.697,92,14
25,109,352,324,60,10,35,65,0.185,0.239,0.324,0.563,63,105
26,15,54,50,7,0,3,20,0.140,0.204,0.140,0.344,0,7
33,86,315,287,61,12,36,101,0.213,0.276,0.401,0.677,87,115
30,119,260,245,55,2,17,76,0.224,0.269,0.310,0.579,64,76
30,156,602,541,129,3,42,73,0.238,0.301,0.311,0.612,80,168
26,14,25,21,5,0,2,7,0.238,0.333,0.238,0.571,66,5
24,113,470,398,101,13,42,86,0.254,0.362,0.445,0.806,128,177
29,156,657,605,151,27,101,183,0.250,0.300,0.456,0.756,113,276
25,2,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
34,138,527,489,120,14,56,98,0.245,0.292,0.389,0.681,91,190
23,73,225,201,41,2,9,64,0.204,0.289,0.269,0.558,65,54
26,35,125,118,32,4,17,31,0.271,0.312,0.424,0.736,95,50
26,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
26,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
28,64,235,215,48,5,29,46,0.223,0.282,0.349,0.631,71,75
42,109,351,307,83,24,68,55,0.270,0.345,0.550,0.895,154,169
35,40,131,124,27,0,8,32,0.218,0.260,0.282,0.542,58,35
25,152,631,586,164,13,72,110,0.280,0.315,0.398,0.713,100,233
23,16,53,48,9,1,3,9,0.188,0.264,0.271,0.535,56,13
30,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
31,92,327,305,74,12,38,53,0.243,0.287,0.403,0.691,95,123
23,139,541,470,134,14,63,58,0.285,0.372,0.415,0.786,126,195
26,59,156,145,38,1,10,21,0.262,0.314,0.331,0.645,76,48
22,113,411,381,88,8,39,74,0.231,0.275,0.344,0.619,76,131
28,155,656,548,142,23,93,77,0.259,0.366,0.454,0.820,133,249
27,160,685,597,162,40,131,128,0.271,0.352,0.518,0.869,146,309
27,153,599,529,116,35,89,121,0.219,0.306,0.461,0.767,115,244
27,157,666,586,160,34,95,161,0.273,0.356,0.519,0.875,145,304
